Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,148.242945791,30,0.11794050703887216,1.955950746482069,22,0,100.0
2,397.604253208,60,0.18533289391260727,1.868902541909899,35,0,100.0
3,681.199652125,90,0.16849858165279077,2.0161615035363605,35,0,100.0
4,961.390366416,120,0.27782864394246354,1.9425174466201238,35,0,100.0
5,1207.663599416,150,0.3187322609705345,1.66634407554354,35,0,100.0
6,1460.679277916,180,0.3582815495304308,1.653359436563083,35,0,100.0
7,1705.276387791,210,0.38989772893359975,1.468461058820997,35,0,100.0
8,1958.363475,240,0.41322667523822715,1.493588662147522,35,0,100.0
9,2207.747827041,270,0.432247091641927,1.4137826634304864,35,0,100.0
10,2479.513856625,300,0.4453124540684693,1.4181692987680434,35,0,100.0
11,2747.722660166,330,0.4598215163984076,1.4235712811350822,35,0,100.0
12,3031.941415,360,0.47631880204228616,1.2784438397203173,35,0,100.0
13,3294.275584666,390,0.4871239248109262,1.2182913356593676,35,0,100.0
14,3564.405287416,420,0.4996074702070935,1.234475291626794,35,0,100.0
15,3857.381276041,450,0.5074557105692714,1.2496770467076983,35,0,100.0
16,4133.786467041,480,0.5172137172284389,1.1877197785036904,35,0,100.0
17,4423.731007166,510,0.5228267890438522,1.1344021505543165,35,0,100.0
18,4760.419016541,540,0.5270952092707174,1.186116211754935,35,0,100.0
19,5077.14216875,570,0.5362556852240962,1.0715335151978902,35,0,100.0
20,5401.571932666,600,0.5409565326460121,1.1261370394911085,35,0,100.0
21,5718.150040333,630,0.5475913765586332,1.1457112222909926,35,0,100.0
22,6042.089217583,660,0.5521119957857457,1.0978264150874955,35,0,100.0
23,6362.484846583,690,0.557893876438208,1.083512658732278,35,0,100.0
24,6686.356117416,720,0.5621354404906749,1.0762557395866938,35,0,100.0
25,6952.252758833,750,0.5653893163006253,1.0955032278384482,35,0,100.0
26,7193.292678333,780,0.571740961585922,1.0859000829713685,35,0,100.0
27,7440.005628166,810,0.5735665587247119,1.042002192565373,35,0,100.0
28,7683.819428083,840,0.5800157098619868,1.065991061287267,35,0,100.0
29,7926.331315166,870,0.5838577794166901,1.0279503728662218,35,0,100.0
30,8170.561108208,900,0.5869737636059696,1.0495158020939146,35,0,100.0
31,8411.287020875,930,0.5906638240410733,1.0121309757232666,35,0,100.0
32,8658.619185833,960,0.5936048072887444,1.0668649068900518,35,0,100.0
33,8899.02487375,990,0.5967025814453768,0.9936711149556297,35,0,100.0
34,9143.376731541,1020,0.6025206721486144,1.024779459834099,35,0,100.0
35,9394.13477625,1050,0.6041207907768646,1.0110557200653212,35,0,100.0
36,9645.495384,1080,0.6056219676619652,1.0050432362726756,35,0,100.0
37,9896.2664485,1110,0.6090331799372475,1.0003419567431722,35,0,100.0
38,10147.811703458,1140,0.6095362215918877,0.9946105148111071,35,0,100.0
39,10397.933169166,1170,0.6140825592622999,0.9624164098075458,35,0,100.0
40,10652.44105275,1200,0.6168890346576376,0.9862531804612704,35,0,100.0
41,10908.181695,1230,0.6193136936204688,0.9808161488601139,35,0,100.0
42,11170.877734083,1260,0.6197074879426199,0.977798094706876,35,0,100.0
43,11426.279477625,1290,0.6231617779221585,0.9731921574899128,35,0,100.0
44,11679.38388675,1320,0.6263046320343015,0.9419566435473306,35,0,100.0
45,11931.95144625,1350,0.6281095843676615,0.9350459890706199,35,0,100.0
46,12188.786806875,1380,0.6294242224177982,0.9644234048468726,35,0,100.0
47,12444.473013208,1410,0.6313598422529636,0.959477065716471,35,0,100.0
48,12699.441899583,1440,0.6329333910983196,0.9286617202418191,35,0,100.0
49,12960.944299416,1470,0.6346796938295635,0.9500148609280586,35,0,100.0
50,13213.703110375,1500,0.6366055009405103,0.9187852595533643,35,0,100.0
51,13474.411461,1530,0.6356213645346954,0.9734420376164573,35,0,100.0
52,13727.721543916,1560,0.6359384626579078,0.9161389265741621,35,0,100.0
53,13981.485620791,1590,0.6371713171654849,0.9142872759274074,35,0,100.0
54,14232.604857083,1620,0.6404253830934323,0.9117612319333213,35,0,100.0
55,14482.53278775,1650,0.6389879382701681,0.8847175715225083,35,0,100.0
56,14741.836478458,1680,0.6400382545517878,0.9652819018278803,35,0,100.0
57,14997.869442208,1710,0.6423409848951441,0.9072959729603358,35,0,100.0
58,15256.883618166,1740,0.6431869543297567,0.933504087797233,35,0,100.0
59,15507.22569675,1770,0.6429877034729262,0.8759873743568148,35,0,100.0
60,15769.171962291,1800,0.6436715123916046,0.9622980488198144,35,0,100.0
61,16029.012182625,1830,0.6446596528759763,0.9587285182305745,35,0,100.0
62,16285.71194275,1860,0.6451368325490542,0.9303204753569194,35,0,100.0
63,16537.771616166,1890,0.6446907971538246,0.9004127898386547,35,0,100.0
64,16797.021844291,1920,0.6464197136649226,0.9241071509463447,35,0,100.0
65,17048.580969125,1950,0.6486871094004054,0.8438535439116615,35,0,100.0
66,17309.935627708,1980,0.6473432382725908,0.9528720059565136,35,0,100.0
67,17563.232480916,2010,0.6488762674112648,0.8652411737612316,35,0,100.0
68,17828.513284916,2040,0.6481768454715805,0.9524378946849278,35,0,100.0
69,18084.6720675,2070,0.6497849796759548,0.8693697490862438,35,0,100.0
70,18378.95332825,2100,0.6489856802185533,0.9812882649047034,35,0,100.0
71,18659.544600416,2130,0.6490009215587298,0.952458479149001,35,0,100.0
72,18934.319397291,2160,0.648719125730862,0.9218202295047896,35,0,100.0
73,19205.433404833,2190,0.6506545245156664,0.8996014560971941,35,0,100.0
74,19485.433086958,2220,0.6505940993733162,0.9503916748932429,35,0,100.0
75,19766.067389541,2250,0.6518519713323639,0.9543455579451152,35,0,100.0
76,20042.649230375,2280,0.6524586267364922,0.9262613754187311,35,0,100.0
77,20314.3516175,2310,0.6545610749149509,0.9015850927148547,35,0,100.0
78,20589.771430625,2340,0.6514365837075825,0.9276405483484268,35,0,100.0
79,20860.339428916,2370,0.6553075572903101,0.9004587965352194,35,0,100.0
80,21137.011608291,2400,0.6550581752604291,0.9315987723214286,35,0,100.0
81,21407.832927958,2430,0.654350187661595,0.9020975368363516,35,0,100.0
82,21683.719658708,2460,0.6550224950164453,0.9337814077734947,35,0,100.0
83,21961.391469708,2490,0.6538400344220114,0.9357705207807677,35,0,100.0
84,22243.405807583,2520,0.6547375688247347,0.9640988026346479,35,0,100.0
85,22519.998076875,2550,0.6549394130706204,0.939653650351933,35,0,100.0
86,22800.676602041,2580,0.6568550527734752,0.9682178646326065,35,0,100.0
87,23075.59945225,2610,0.6551454797418843,0.9437928372195789,35,0,100.0
88,23356.11810675,2640,0.6563885098438926,0.9743210745709283,35,0,100.0
89,23636.22163025,2670,0.6560861008742993,0.9759453850133079,35,0,100.0
90,23918.918042625,2700,0.6558168114345404,0.9820971878511565,35,0,100.0
91,24186.547279791,2730,0.6554624829536562,0.8984595479709762,35,0,100.0
92,24466.789179166,2760,0.656663652913232,0.9790591478347779,35,0,100.0
93,24739.436215916,2790,0.6538214821894512,0.9291611409613064,35,0,100.0
94,25021.988953708,2820,0.6556190394628498,0.9923477351665497,35,0,100.0
95,25297.045062375,2850,0.6554048635446718,0.963410224871976,35,0,100.0
96,25577.108324375,2880,0.6563925017612019,0.9939154773950577,35,0,100.0
97,25850.088397958,2910,0.6559160711719477,0.9405793828623635,35,0,100.0
98,26135.891532958,2940,0.6566141075132712,1.037949179964406,35,0,100.0
99,26409.997983916,2970,0.6537553076722562,0.9501414860997881,35,0,100.0
100,26689.777641958,3000,0.6547256598132527,1.0104872013841357,35,0,100.0
