Round,Time [s],Accuracy,Loss,Precision,Recall,F-score
1,64.733043125,0.8509,0.47918075897114515,0.8503188286799819,0.8509,0.8503134261051275
2,130.956728833,0.8984,0.33406808688551776,0.899101101304411,0.8984,0.8983366505035788
3,195.771437833,0.9176,0.27930185942652674,0.9178521799808608,0.9176,0.9175200911793087
4,263.316814125,0.9265,0.23833832788533754,0.9266405106197717,0.9265,0.9264702823900698
5,331.449795375,0.9349,0.22905420139719704,0.935096624718691,0.9349,0.934776773539373
6,399.301966208,0.9447,0.19128367461648535,0.9449823142200611,0.9447,0.9447558319414624
7,469.702617666,0.944,0.18724181298744935,0.9439457231645114,0.944,0.9439060426569428
8,534.735768458,0.9474,0.18324697693884548,0.9474921219875867,0.9474,0.9473660918743104
9,601.776723833,0.9464,0.1725849803577415,0.9467165981752627,0.9464,0.9464447229501486
10,669.143595125,0.9507,0.1630506618657192,0.9509723837281668,0.9507,0.9507214896237594
11,737.04203375,0.9492,0.16373469712681105,0.9496719193699285,0.9492,0.9491879016684547
12,804.343815208,0.9579,0.14992757922381217,0.9580657156106194,0.9579,0.9578986366555972
13,870.433203666,0.9583,0.1497929906248598,0.9583531057046919,0.9583,0.9582906137953118
14,938.422718333,0.9582,0.1374335837344531,0.958324285106666,0.9582,0.9582034464574696
15,1005.691180666,0.9577,0.14132050951169992,0.9577958955724422,0.9577,0.9576824712259456
16,1073.309007291,0.9621,0.13835668469029272,0.9621692379829406,0.9621,0.9620755367659014
17,1141.582306708,0.9586,0.13680654485124683,0.9586772314790627,0.9586,0.958586848542034
18,1210.10583225,0.9601,0.13819469444800545,0.9603163960658135,0.9601,0.9601171771694178
19,1276.640895958,0.9602,0.1324572090903757,0.960262204277125,0.9602,0.9601769623465488
20,1343.373889583,0.9631,0.1288739060465326,0.9631712231215597,0.9631,0.9630916616752097
21,1411.614210541,0.9615,0.13233245121053464,0.9615528305949221,0.9615,0.9614599557165969
22,1478.855815666,0.9661,0.11780128058906349,0.9662062471142085,0.9661,0.9661088258891765
23,1545.7380555,0.9621,0.12274058265341355,0.9621947064179281,0.9621,0.9620847118141977
24,1607.7240495,0.962,0.11626501732254192,0.9620529131617419,0.962,0.9619909952029618
25,1668.110640458,0.9665,0.1162237971946232,0.9665693078280119,0.9665,0.9665094196909575
26,1728.434189208,0.9656,0.11768903934165341,0.9656077168454608,0.9656,0.9655794300722041
27,1788.964936791,0.9653,0.12338487762656528,0.9654792063618943,0.9653,0.9653113300056737
28,1852.414493833,0.9666,0.12131611991532618,0.9666657514454706,0.9666,0.966584114106765
29,1914.785851958,0.9664,0.1225781372925273,0.9664502172845916,0.9664,0.9663650577176027
30,1982.369920416,0.9652,0.12558940397117313,0.96524006139963,0.9652,0.9651757682966905
31,2044.606499458,0.9689,0.10960307495315928,0.9690011647648563,0.9689,0.9689006581999166
32,2104.935153416,0.9701,0.10948647327258518,0.9701001242498689,0.9701,0.9700805639789686
33,2165.199299458,0.9672,0.11071380886507523,0.9672539872116468,0.9672,0.9671633675713338
34,2225.690381291,0.9677,0.11238085622740532,0.9677537962602837,0.9677,0.9677124364442418
35,2286.835905083,0.9704,0.11199188570116984,0.9704866555379985,0.9704,0.9704105357869485
36,2346.167103458,0.9683,0.10815654919693797,0.9683547124928733,0.9683,0.9682781888643299
37,2406.478724333,0.9671,0.10833092337352491,0.9671594095152973,0.9671,0.9671054009889091
38,2466.16250325,0.9698,0.1099209039226934,0.9699004273502236,0.9698,0.9698099985695325
39,2526.447798208,0.9701,0.1088184327372697,0.9701439881348033,0.9701,0.9700863197709797
40,2586.649825541,0.9703,0.09993533226538068,0.970337768693901,0.9703,0.9703064846278512
41,2646.73416775,0.9715,0.10250146836421814,0.9716996148524535,0.9715,0.9715153806434801
42,2708.178314666,0.9737,0.09288210108178031,0.9737154437840787,0.9737,0.9736949125705087
43,2773.409700416,0.9668,0.11079138544003782,0.9668204628940174,0.9668,0.9667497919126001
44,2842.743379666,0.968,0.1072660108133849,0.9681957115044489,0.968,0.9680182534976987
45,2909.02069375,0.9693,0.11107590221488456,0.9693523715930594,0.9693,0.969299171772621
46,2970.026469375,0.9716,0.09656808489940036,0.9716804835688894,0.9716,0.9715860590002616
47,3030.130877291,0.9705,0.11040934611775596,0.9705914359262461,0.9705,0.9704912158217088
48,3090.810793,0.9698,0.10664786868341085,0.9698303994988344,0.9698,0.9697857643715868
49,3158.572282791,0.9703,0.09921769799386579,0.9704165011550254,0.9703,0.9703087245335058
50,3220.067338708,0.9702,0.10001568223860906,0.9702319555693885,0.9702,0.9701815024792162
51,3279.821199458,0.9691,0.1061332609589901,0.9691651264404231,0.9691,0.9690885345000867
52,3339.600321291,0.9733,0.09640910117580932,0.973395624534646,0.9733,0.9733020834955117
53,3399.564026166,0.9705,0.10544647262838067,0.9705468419081675,0.9705,0.9704713652512592
54,3459.843737291,0.9693,0.10524012023871089,0.9694693787910921,0.9693,0.9693161763037055
55,3520.650149791,0.9706,0.10056379332307928,0.9707012827361463,0.9706,0.9705743382467253
56,3581.252222083,0.9726,0.0949923604003603,0.9726521141848307,0.9726,0.9725851546645253
57,3641.303686541,0.9719,0.09543233059997216,0.9719255871069001,0.9719,0.9719004594998705
58,3701.795445375,0.9712,0.10120323210155435,0.9712717688816054,0.9712,0.971168315178929
59,3764.435161125,0.9722,0.09905374453220957,0.9723536660267637,0.9722,0.9722220398394577
60,3828.5677905,0.9731,0.0952982996390748,0.9731293320818079,0.9731,0.9730925218679793
61,3892.098094083,0.9716,0.09988245088106608,0.9716028387228617,0.9716,0.9715865763143394
62,3951.848649916,0.9719,0.10027593168235882,0.9719369844541914,0.9719,0.9718883748269451
63,4011.637739875,0.9731,0.09542983206348342,0.9731096627190656,0.9731,0.9730868906011768
64,4071.274567041,0.9693,0.10303629173370446,0.9693803937567546,0.9693,0.969314738396555
65,4130.713608875,0.9736,0.09425094777506814,0.973668841265301,0.9736,0.9736059594341628
66,4190.1914795,0.971,0.10516765229241687,0.9710491882957264,0.971,0.9709774616535074
67,4249.84453125,0.9722,0.0955702334487223,0.972293480911111,0.9722,0.9721942226349339
68,4309.401977,0.9737,0.0973461110997508,0.9737479859033621,0.9737,0.9736954605711571
69,4368.801377666,0.975,0.09363630293852239,0.9750011748696378,0.975,0.9749800714836014
70,4428.572224833,0.9722,0.09637271984340172,0.9722503027364695,0.9722,0.972188037435117
71,4488.548937875,0.9716,0.09888980259380639,0.9716711089911608,0.9716,0.9716085386760142
72,4548.233708875,0.9731,0.09166843884575225,0.9731344187029619,0.9731,0.9730788588136507
73,4608.054979333,0.9745,0.09200128686356732,0.9745442906877468,0.9745,0.9744929746178912
74,4667.246548875,0.9719,0.098655802069758,0.9719379909086927,0.9719,0.9718776101515814
75,4725.674312333,0.973,0.09092722554821181,0.9730935594882393,0.973,0.972996612586429
76,4784.319305,0.9724,0.09627029337501772,0.9724708012310118,0.9724,0.972392361695788
77,4842.663045541,0.9728,0.09633053756314978,0.9729346930705935,0.9728,0.9728075772450108
78,4901.117774791,0.973,0.09528759676773686,0.9730640119248221,0.973,0.9729978274099845
79,4959.718238875,0.9719,0.09833913682935319,0.9720288959609444,0.9719,0.9719100463109189
80,5018.975967708,0.974,0.0897878414052065,0.9740907892297135,0.974,0.9740008683262775
81,5077.929637125,0.9738,0.099309725401891,0.9738937856883009,0.9738,0.9738108363296778
82,5136.922388208,0.9729,0.09406614248769171,0.9729716867085754,0.9729,0.9729022228143829
83,5195.668023625,0.9754,0.08730439670968919,0.9754575921751888,0.9754,0.9753957493160739
84,5253.4858195,0.9741,0.09456388622897545,0.9741666042249044,0.9741,0.9740939357199151
85,5311.700836083,0.9717,0.09932497997323085,0.9717652530905009,0.9717,0.9717011362229696
86,5369.648031291,0.9707,0.10002947363187073,0.9707565915943712,0.9707,0.9706767828596076
87,5427.860883333,0.9737,0.09444481049656277,0.9737229675776998,0.9737,0.973681692380966
88,5486.656870166,0.9744,0.09512450516448721,0.9744551665992298,0.9744,0.9743876082760864
89,5544.452214625,0.976,0.08761786822371682,0.9760344238839515,0.976,0.9760041980886792
90,5603.052183583,0.971,0.09985929167636291,0.9710352134415625,0.971,0.970995639897112
91,5661.666310541,0.9729,0.09483076156070012,0.9729850313737572,0.9729,0.972895116975916
92,5719.492948125,0.9735,0.08826675365900069,0.9735435264319218,0.9735,0.9735064274883743
93,5778.063057791,0.9723,0.09589983996547549,0.9723664816672523,0.9723,0.9722941711063507
94,5837.54704425,0.9738,0.09570713698327961,0.9738120635569141,0.9738,0.9737950843138704
95,5898.938894,0.9743,0.09094919682593608,0.9743369765992184,0.9743,0.9742934289197263
96,5959.735097166,0.9731,0.09548771570067122,0.9731519086198294,0.9731,0.9730964557442773
97,6020.735459208,0.9746,0.08879285525246787,0.9746881820042654,0.9746,0.9746098099686548
98,6081.604763708,0.9741,0.08725371435881435,0.9742058917787856,0.9741,0.9740912387207878
99,6142.643212375,0.9735,0.08983458284296293,0.9735088061439626,0.9735,0.9734894972711309
100,6203.912282,0.9738,0.09101557845147266,0.9738382869671934,0.9738,0.9738041005619259
