Round,Real Time[s],Sim Time[s],Accuracy,Loss,Precision,Recall,F-score,received,failure,p_rate[%],ios_time
1,74.70631796,100,0.864,0.440216035,0.865087235,0.864,0.864117806,1,0,100,50.023844
2,138.7970913,200,0.903,0.325238734,0.903352257,0.903,0.902934369,1,0,100,100.5494151
3,202.2142369,300,0.9262,0.247973993,0.926371866,0.9262,0.926205093,1,0,100,156.653863
4,265.2210445,400,0.9346,0.224611476,0.934834672,0.9346,0.934578017,1,0,100,216.3436821
5,329.8019849,500,0.9409,0.199491009,0.940969238,0.9409,0.940848226,1,0,100,277.2194328
6,389.6915882,600,0.9419,0.197043344,0.942104335,0.9419,0.941763176,1,0,100,337.8985469
7,449.9983752,700,0.9482,0.176669002,0.948361091,0.9482,0.948213784,1,0,100,398.870383
8,510.4731802,800,0.9464,0.171933636,0.946437161,0.9464,0.946330057,1,0,100,464.0329168
9,572.1577054,900,0.9521,0.15539293,0.95232704,0.9521,0.952056971,1,0,100,536.953958
10,635.6629923,1000,0.9562,0.15583238,0.9563012,0.9562,0.956196918,1,0,100,617.2854378
11,696.4548007,1100,0.9574,0.14211978,0.957551567,0.9574,0.957423536,1,0,100,696.1475811
12,760.0807274,1200,0.959,0.145583227,0.959125926,0.959,0.95899075,1,0,100,777.760505
13,824.3219556,1300,0.9568,0.143966943,0.956854957,0.9568,0.95677499,1,0,100,861.6255898
14,887.3695688,1400,0.9597,0.13594757,0.959834167,0.9597,0.959692116,1,0,100,947.5837801
15,949.3461844,1500,0.9587,0.137597516,0.958893742,0.9587,0.958702175,1,0,100,1035.456821
16,1009.393265,1600,0.9587,0.135162652,0.958850197,0.9587,0.958705074,1,0,100,1125.987309
17,1070.570948,1700,0.9591,0.137199849,0.959186787,0.9591,0.959092509,1,0,100,1217.897827
18,1130.619633,1800,0.9614,0.127674609,0.961506195,0.9614,0.961337878,1,0,100,1310.536061
19,1190.590847,1900,0.9639,0.120846592,0.963966651,0.9639,0.963860869,1,0,100,1403.186382
20,1250.44052,2000,0.9634,0.124977745,0.963525886,0.9634,0.963364691,1,0,100,1495.923745
21,1310.143029,2100,0.9615,0.123666301,0.961547306,0.9615,0.961497809,1,0,100,1590.094571
22,1370.216664,2200,0.9656,0.115895882,0.965753297,0.9656,0.965608355,1,0,100,1684.280513
23,1429.980586,2300,0.963,0.122139752,0.963164633,0.963,0.962980551,1,0,100,1779.297101
24,1489.938584,2400,0.9628,0.12205822,0.962906364,0.9628,0.962794446,1,0,100,1875.420351
25,1549.869413,2500,0.9642,0.121159092,0.964257823,0.9642,0.96419705,1,0,100,1971.997322
26,1609.829969,2600,0.9659,0.11430832,0.965986537,0.9659,0.965890136,1,0,100,2069.055831
27,1669.922578,2700,0.9623,0.121778503,0.962467277,0.9623,0.962283197,1,0,100,2166.228886
28,1729.890327,2800,0.9652,0.122356944,0.965282561,0.9652,0.965183396,1,0,100,2262.961778
29,1790.455898,2900,0.9676,0.110090263,0.967642389,0.9676,0.967585785,1,0,100,2361.262074
30,1852.382693,3000,0.9662,0.114350848,0.966244213,0.9662,0.966196228,1,0,100,2461.168219
31,1914.56349,3100,0.9648,0.118397474,0.964949355,0.9648,0.964780084,1,0,100,2559.761401
32,1978.010716,3200,0.9674,0.114856385,0.967437352,0.9674,0.967357498,1,0,100,2658.406237
33,2040.554132,3300,0.9686,0.107479066,0.968656686,0.9686,0.968566423,1,0,100,2757.212992
34,2103.236368,3400,0.9673,0.114728726,0.967340657,0.9673,0.967272604,1,0,100,2856.32446
35,2164.545576,3500,0.9691,0.106104866,0.96915435,0.9691,0.969085372,1,0,100,2955.671363
36,2226.771206,3600,0.9689,0.106609881,0.968970624,0.9689,0.96888159,1,0,100,3055.13635
37,2289.303714,3700,0.9683,0.111352175,0.968358858,0.9683,0.968285103,1,0,100,3155.160831
38,2351.007299,3800,0.9705,0.101622291,0.970522445,0.9705,0.97046865,1,0,100,3255.66217
39,2412.34304,3900,0.9706,0.097203389,0.970704162,0.9706,0.97060104,1,0,100,3355.720189
40,2472.582122,4000,0.9685,0.106124699,0.96854779,0.9685,0.968472472,1,0,100,3455.579305
41,2533.823388,4100,0.9681,0.106122993,0.968191924,0.9681,0.968073036,1,0,100,3555.600322
42,2597.310058,4200,0.969,0.103963941,0.969124319,0.969,0.96902843,1,0,100,3655.944271
43,2661.245381,4300,0.9717,0.098481208,0.971801001,0.9717,0.971688297,1,0,100,3756.031525
44,2721.886494,4400,0.971,0.09817344,0.971019668,0.971,0.970979889,1,0,100,3856.488406
45,2781.909618,4500,0.9688,0.097255088,0.968847132,0.9688,0.968788385,1,0,100,3956.735577
46,2845.660433,4600,0.9718,0.103944659,0.971855485,0.9718,0.971791535,1,0,100,4057.037402
47,2909.552155,4700,0.971,0.09971983,0.971067604,0.971,0.970998345,1,0,100,4157.231985
48,2974.644929,4800,0.9722,0.101278514,0.972203854,0.9722,0.972168553,1,0,100,4259.28948
49,3039.70863,4900,0.9697,0.102539055,0.96975882,0.9697,0.969693485,1,0,100,4362.651974
50,3105.960966,5000,0.9691,0.104049072,0.969160595,0.9691,0.969067561,1,0,100,4465.704684
51,3166.769889,5100,0.9707,0.102813974,0.970730145,0.9707,0.97068703,1,0,100,4568.855148
52,3226.861002,5200,0.9669,0.110539578,0.966983541,0.9669,0.966906856,1,0,100,4671.438022
53,3288.927484,5300,0.9687,0.101968899,0.968800339,0.9687,0.96868874,1,0,100,4774.459826
54,3353.789308,5400,0.969,0.100882739,0.969025012,0.969,0.968979209,1,0,100,4876.968819
55,3414.673595,5500,0.969,0.103362374,0.969075558,0.969,0.968982984,1,0,100,4980.357239
56,3474.76015,5600,0.9736,0.09338735,0.973628398,0.9736,0.973598584,1,0,100,5083.698221
57,3538.276801,5700,0.9698,0.099147066,0.969872525,0.9698,0.969760421,1,0,100,5186.789121
58,3602.359171,5800,0.9732,0.093660355,0.973238754,0.9732,0.973182417,1,0,100,5289.85812
59,3667.323663,5900,0.9702,0.098415464,0.970254101,0.9702,0.970189351,1,0,100,5392.711145
60,3731.814158,6000,0.9723,0.102815926,0.972321322,0.9723,0.972293138,1,0,100,5495.850092
61,3798.041241,6100,0.9709,0.091642201,0.970971524,0.9709,0.970882922,1,0,100,5598.660546
62,3861.800627,6200,0.9741,0.093209751,0.974149487,0.9741,0.97410019,1,0,100,5701.465125
63,3925.181184,6300,0.9702,0.101366311,0.970230692,0.9702,0.970174597,1,0,100,5804.431694
64,3988.599366,6400,0.9713,0.10369017,0.971305706,0.9713,0.971269224,1,0,100,5906.276263
65,4054.193511,6500,0.9705,0.099873908,0.97052155,0.9705,0.970491609,1,0,100,6010.247664
66,4117.139796,6600,0.9716,0.09318848,0.971641895,0.9716,0.971594622,1,0,100,6112.715998
67,4181.945617,6700,0.9718,0.09615916,0.971880004,0.9718,0.971779766,1,0,100,6215.337919
68,4245.587597,6800,0.9709,0.096980356,0.970936416,0.9709,0.970882686,1,0,100,6317.782815
69,4307.752875,6900,0.9729,0.094220594,0.972896063,0.9729,0.97286776,1,0,100,6422.320011
70,4367.997351,7000,0.9737,0.097288877,0.973699939,0.9737,0.973692548,1,0,100,6524.305613
71,4431.584691,7100,0.9728,0.093080297,0.972864172,0.9728,0.972801334,1,0,100,6626.775737
72,4495.649099,7200,0.9718,0.103553347,0.97179482,0.9718,0.971783573,1,0,100,6729.244344
73,4556.52216,7300,0.9734,0.089979045,0.973464264,0.9734,0.973384343,1,0,100,6832.811687
74,4619.785969,7400,0.9719,0.101863176,0.971940591,0.9719,0.971881821,1,0,100,6947.273715
75,4681.558018,7500,0.9737,0.095360257,0.973726992,0.9737,0.973687937,1,0,100,7049.86528
76,4741.852253,7600,0.9718,0.096469477,0.971937316,0.9718,0.971779567,1,0,100,7153.948845
77,4799.826999,7700,0.9723,0.106915936,0.972419421,0.9723,0.972284946,1,0,100,7258.884953
78,4858.415282,7800,0.9704,0.098498613,0.970469854,0.9704,0.970411153,1,0,100,7363.038976
79,4925.746254,7900,0.9727,0.088280573,0.972760906,0.9727,0.97269577,1,0,100,7465.851712
80,4990.070102,8000,0.9722,0.093474753,0.972226196,0.9722,0.972181799,1,0,100,7568.611691
81,5049.89026,8100,0.9729,0.089660093,0.97293784,0.9729,0.972900651,1,0,100,7673.104075
82,5109.213743,8200,0.9738,0.097066291,0.973815252,0.9738,0.9737876,1,0,100,7775.311438
83,5168.362201,8300,0.9717,0.090857834,0.971791908,0.9717,0.971703066,1,0,100,7878.986255
84,5233.052475,8400,0.9737,0.091503225,0.973732733,0.9737,0.973695111,1,0,100,7982.46433
85,5297.348457,8500,0.9729,0.099141866,0.972971225,0.9729,0.972889691,1,0,100,8087.02017
86,5360.731632,8600,0.9727,0.089413561,0.972746797,0.9727,0.972673402,1,0,100,8190.846873
87,5423.859962,8700,0.9738,0.091592453,0.973828382,0.9738,0.97378531,1,0,100,8295.58993
88,5484.510366,8800,0.9717,0.097225703,0.971753966,0.9717,0.971691348,1,0,100,8398.620895
89,5548.024899,8900,0.9741,0.095248505,0.974148619,0.9741,0.974076207,1,0,100,8501.461043
90,5611.195262,9000,0.9746,0.092097431,0.974687967,0.9746,0.974602033,1,0,100,8606.234981
91,5673.669784,9100,0.9704,0.097613357,0.970490691,0.9704,0.970396079,1,0,100,8711.78259
92,5736.632865,9200,0.9706,0.096285529,0.970757305,0.9706,0.970596143,1,0,100,8815.578097
93,5801.890559,9300,0.9751,0.08677756,0.97513675,0.9751,0.975092345,1,0,100,8920.35961
94,5865.225339,9400,0.9708,0.097068317,0.970868872,0.9708,0.970791479,1,0,100,9024.196427
95,5928.972678,9500,0.9737,0.091670111,0.973706283,0.9737,0.973687244,1,0,100,9127.277327
96,5993.654398,9600,0.9746,0.090345681,0.974642179,0.9746,0.974586554,1,0,100,9231.257615
97,6059.284111,9700,0.9726,0.106492542,0.972636114,0.9726,0.972603198,1,0,100,9336.611174
98,6121.954097,9800,0.9738,0.090626307,0.973816682,0.9738,0.973791416,1,0,100,9441.048642
99,6183.684105,9900,0.971,0.107390195,0.971092786,0.971,0.971010611,1,0,100,9545.069549
100,6246.480143,10000,0.9733,0.090136319,0.97329706,0.9733,0.973287318,1,0,100,9649.039659