Round,Real Time[s],Sim Time[s],Accuracy,Loss,receved,failue,p_rate[%]
1,199.60635,30,0.137300289,2.077715961,27,0,100
2,477.8504016,60,0.180251566,1.91901667,35,0,100
3,783.3505025,90,0.222567887,1.881600841,35,0,100
4,1092.766646,120,0.297851386,1.821095155,35,0,100
5,1388.437378,150,0.333307213,1.672815774,35,0,100
6,1688.590624,180,0.359081106,1.606126639,35,0,100
7,1991.768122,210,0.385930588,1.530704612,35,0,100
8,2287.422011,240,0.409789108,1.470384372,35,0,100
9,2592.011157,270,0.426430587,1.46360159,35,0,100
10,2918.891021,300,0.445556241,1.427643082,35,0,100
11,3233.596074,330,0.461096,1.389469637,35,0,100
12,3543.113677,360,0.475353643,1.281458534,35,0,100
13,3864.226588,390,0.485572186,1.247921784,35,0,100
14,4201.03292,420,0.497839114,1.235480607,35,0,100
15,4546.937455,450,0.506995061,1.218505061,35,0,100
16,4864.891217,480,0.516654051,1.183429819,35,0,100
17,5166.213314,510,0.523711433,1.180746707,35,0,100
18,5464.915945,540,0.53182662,1.152752487,35,0,100
19,5740.675072,570,0.538964098,1.132428277,35,0,100
20,6051.065367,600,0.547709141,1.104365758,35,0,100
21,6347.297126,630,0.553359926,1.091077774,35,0,100
22,6644.243596,660,0.558266071,1.085888151,35,0,100
23,6939.747713,690,0.56500892,1.075281397,35,0,100
24,7245.789673,720,0.572047562,1.075005834,35,0,100
25,7554.134648,750,0.578162255,1.068263405,35,0,100
26,7864.741054,780,0.583650293,1.06673433,35,0,100
27,8162.773722,810,0.587943256,1.065679094,35,0,100
28,8473.286617,840,0.589480931,1.05753629,35,0,100
29,8787.703354,870,0.593793276,1.053033639,35,0,100
30,9112.923812,900,0.594523398,1.052543805,35,0,100
31,9413.953376,930,0.599528911,1.041877559,35,0,100
32,9739.883299,960,0.601351071,1.038072566,35,0,100
33,11075.17229,990,0.605423461,1.031426101,35,0,100
34,12532.9704,1020,0.607372777,1.030963793,35,0,100
35,13768.47791,1050,0.611533619,1.028073471,35,0,100
36,15022.72213,1080,0.612114216,1.015903739,35,0,100
37,16210.93978,1110,0.61584743,1.014797086,35,0,100
38,17295.6341,1140,0.617860756,1.011611282,35,0,100
39,17615.35515,1170,0.618937709,1.0090232,35,0,100
40,17934.71231,1200,0.621883408,1.006800196,35,0,100
41,18218.62913,1230,0.625788138,1.004611011,35,0,100
42,18515.33864,1260,0.627223056,1.004299787,35,0,100
43,18820.61461,1290,0.628535202,1.002353958,35,0,100
44,19114.56563,1320,0.631256309,1.000745016,35,0,100
45,19414.53084,1350,0.631633501,0.999285842,35,0,100
46,19729.73596,1380,0.632492381,0.998920715,35,0,100
47,20033.90126,1410,0.636291545,0.99722671,35,0,100
48,20338.73376,1440,0.63656351,0.996865856,35,0,100
49,20644.33907,1470,0.638901355,0.99230198,35,0,100
50,20959.41791,1500,0.639636208,0.990955704,35,0,100
51,21266.50713,1530,0.64058061,0.990548738,35,0,100
52,21569.34252,1560,0.640749487,0.988856917,35,0,100
53,21870.72947,1590,0.640946251,0.986946536,35,0,100
54,22182.015,1620,0.64098099,0.981523808,35,0,100
55,22476.61275,1650,0.64218191,0.981314433,35,0,100
56,22797.73131,1680,0.643912921,0.981196548,35,0,100
57,23102.92905,1710,0.64392142,0.973758091,35,0,100
58,23425.51766,1740,0.644178952,0.970063134,35,0,100
59,23724.26857,1770,0.644881168,0.969469926,35,0,100
60,24052.19967,1800,0.645234182,0.968763565,35,0,100
61,24366.81861,1830,0.645405796,0.968677712,35,0,100
62,24676.79243,1860,0.645635586,0.966290743,35,0,100
63,24978.60807,1890,0.645652962,0.965031995,35,0,100
64,25297.7741,1920,0.645853095,0.96270766,35,0,100
65,25592.61453,1950,0.645947461,0.958085243,35,0,100
66,25907.88602,1980,0.64598641,0.957353842,35,0,100
67,26211.07906,2010,0.646203234,0.954819385,35,0,100
68,26525.35373,2040,0.646461895,0.953377329,35,0,100
69,26830.68662,2070,0.646577208,0.952423779,35,0,100
70,27155.99562,2100,0.646676536,0.951380587,35,0,100
71,27474.44267,2130,0.646717629,0.947687942,35,0,100
72,27782.12385,2160,0.646791201,0.944659143,35,0,100
73,28091.23484,2190,0.647041833,0.944381524,35,0,100
74,28353.76575,2220,0.647254613,0.943945542,35,0,100
75,28624.9444,2250,0.647458358,0.942955023,35,0,100
76,28883.99816,2280,0.647517399,0.942295749,35,0,100
77,29146.59676,2310,0.647851956,0.940398429,35,0,100
78,29401.1888,2340,0.647964967,0.938519842,35,0,100
79,29661.16473,2370,0.648445445,0.937283956,35,0,100
80,29913.54665,2400,0.648478624,0.937151919,35,0,100
81,30175.67177,2430,0.64849661,0.935461022,35,0,100
82,30432.66647,2460,0.64889848,0.933679998,35,0,100
83,30697.79018,2490,0.649002787,0.933252077,35,0,100
84,30958.93797,2520,0.649110542,0.932192066,35,0,100
85,31223.64724,2550,0.649218062,0.929406471,35,0,100
86,31481.84206,2580,0.649238369,0.928167249,35,0,100
87,31749.60665,2610,0.649978913,0.923193138,35,0,100
88,32006.68728,2640,0.650099661,0.921604604,35,0,100
89,32280.01259,2670,0.650244472,0.91883106,35,0,100
90,32541.4022,2700,0.650283706,0.916104215,35,0,100
91,32793.9097,2730,0.650374531,0.914194011,35,0,100
92,33057.34647,2760,0.650540188,0.912883335,35,0,100
93,33317.66306,2790,0.650601054,0.91250791,35,0,100
94,33579.2094,2820,0.650628252,0.912459245,35,0,100
95,33842.06095,2850,0.650777467,0.911238188,35,0,100
96,34104.70153,2880,0.650903211,0.908784497,35,0,100
97,34363.65652,2910,0.650983643,0.904376186,35,0,100
98,34631.54078,2940,0.651447281,0.885173061,35,0,100
99,34891.68785,2970,0.651708798,0.881194675,35,0,100
100,35149.57588,3000,0.652376594,0.879786152,35,0,100